Chromosome,General_function,Representative_group,Numero_genes,Numero_SNPs
3,Biological process,translational termination,1,20
3,Biological process,nucleosome assembly,6,19
3,Biological process,plant-type cell wall organization,2,19
3,Biological process,proteolysis,47,18
3,Biological process,systemic acquired resistance,1,18
3,Biological process,ion transport,5,17
3,Biological process,nitrogen compound metabolic process,1,17
3,Biological process,nucleocytoplasmic transport,1,17
3,Biological process,metal ion transport,10,16
3,Biological process,molybdate ion transport,1,16
3,Biological process,mRNA splice site selection,1,16
3,Biological process,SRP-dependent cotranslational protein targeting to membrane,2,16
3,Biological process,carboxylic acid metabolic process,1,15
3,Biological process,cellular amino acid biosynthetic process,3,15
3,Biological process,cyanate metabolic process,1,15
3,Biological process,DNA-templated transcription termination,1,15
3,Biological process,purine nucleobase transport,1,15
3,Biological process,amine metabolic process,3,14
3,Biological process,biosynthesis,1,14
3,Biological process,cellular response to stress,1,14
3,Biological process,drug transmembrane transport,6,14
3,Biological process,microtubule-based movement,26,14
3,Biological process,protein dephosphorylation,7,14
3,Biological process,ceramide metabolic process,1,13
3,Biological process,L-serine biosynthetic process,1,13
3,Biological process,transcription from plastid promoter,10,13
3,Biological process,endoplasmic reticulum organization,1,12
3,Biological process,phosphate ion transport,2,12
3,Biological process,protein folding,11,12
3,Biological process,sulfate transport,1,12
3,Biological process,intra-Golgi vesicle-mediated transport,1,11
3,Biological process,kinetochore assembly,1,11
3,Biological process,mannosylation,1,11
3,Biological process,ubiquitin-dependent protein catabolic process,5,11
3,Biological process,branched-chain amino acid biosynthetic process,1,10
3,Biological process,brassinosteroid mediated signaling pathway,1,10
3,Biological process,calcium ion transport,1,10
3,Biological process,chloride transport,1,10
3,Biological process,lipid metabolic process,15,10
3,Biological process,NAD biosynthetic process,1,10
3,Biological process,polyamine biosynthetic process,2,10
3,Biological process,cofactor biosynthetic process,1,9
3,Biological process,glutathione metabolic process,1,9
3,Biological process,peroxisome organization,1,9
3,Biological process,actin filament depolymerization,1,8
3,Biological process,cellular response to DNA damage stimulus,1,8
3,Biological process,DNA biosynthetic process,1,8
3,Biological process,gamma-aminobutyric acid catabolic process,1,8
3,Biological process,glycerol ether metabolic process,1,8
3,Biological process,metabolic process,58,8
3,Biological process,metabolism,2,8
3,Biological process,mitochondrion organization,1,8
3,Biological process,mitotic DNA replication checkpoint,1,8
3,Biological process,mRNA transport,1,8
3,Biological process,oxidation-reduction process,139,8
3,Biological process,cation transport,3,7
3,Biological process,cell wall organization,8,7
3,Biological process,lipid biosynthetic process,2,7
3,Biological process,activation of protein kinase activity,1,6
3,Biological process,exocytosis,6,6
3,Biological process,GDP-mannose metabolic process,1,6
3,Biological process,histone deacetylation,1,6
3,Biological process,methylation,38,6
3,Biological process,nucleotide metabolic process,1,6
3,Biological process,oligopeptide transport,2,6
3,Biological process,peptidyl-tyrosine phosphorylation,2,6
3,Biological process,protein deubiquitination,2,6
3,Biological process,reciprocal meiotic recombination,1,6
3,Biological process,S-adenosylhomocysteine catabolic process,2,6
3,Biological process,vacuole organization,1,6
3,Biological process,actin filament organization,1,5
3,Biological process,biosynthetic process,10,5
3,Biological process,cell cycle,4,5
3,Biological process,cell redox homeostasis,4,5
3,Biological process,glycerolipid biosynthetic process,3,5
3,Biological process,G-protein coupled receptor signaling pathway,1,5
3,Biological process,lipid transport,6,5
3,Biological process,methionine biosynthetic process,2,5
3,Biological process,microtubule-based process,3,5
3,Biological process,mitochondrial translation,1,5
3,Biological process,multicellular organism development,5,5
3,Biological process,nucleoside triphosphate catabolic process,1,5
3,Biological process,posttranslational protein targeting to membrane translocation,1,5
3,Biological process,potassium ion transmembrane transport,7,5
3,Biological process,protein processing involved in protein targeting to mitochondrion,1,5
3,Biological process,pyrimidine nucleotide-sugar transmembrane transport,1,5
3,Biological process,regulation of defense response,4,5
3,Biological process,regulation of DNA methylation,1,5
3,Biological process,response to high light intensity,1,5
3,Biological process,ammonium transmembrane transport,1,4
3,Biological process,cellular oxidant detoxification,15,4
3,Biological process,defense response to fungus,1,4
3,Biological process,gravitropism,2,4
3,Biological process,malate transport,2,4
3,Biological process,male meiosis II,2,4
3,Biological process,phylloquinone biosynthetic process,1,4
3,Biological process,plastid transcription,1,4
3,Biological process,pyridoxine biosynthetic process,1,4
3,Biological process,regulation of monopolar cell growth,1,4
3,Biological process,regulation of phosphoprotein phosphatase activity,2,4
3,Biological process,response to auxin,2,4
3,Biological process,response to freezing,1,4
3,Biological process,response to stress,12,4
3,Biological process,steroid biosynthetic process,2,4
3,Biological process,tetrapyrrole biosynthetic process,1,4
3,Biological process,tRNA processing,3,4
3,Biological process,carbohydrate transport,8,3
3,Biological process,chloroplast fission,1,3
3,Biological process,DNA endoreduplication,2,3
3,Biological process,DNA integration,13,3
3,Biological process,electron transport chain,7,3
3,Biological process,GDP-fucose transmembrane transport,1,3
3,Biological process,Golgi organization,1,3
3,Biological process,Golgi vesicle transport,1,3
3,Biological process,negative regulation of endopeptidase activity,18,3
3,Biological process,oxylipin biosynthetic process,3,3
3,Biological process,pectin catabolic process,9,3
3,Biological process,photosynthesis,3,3
3,Biological process,phytochelatin biosynthetic process,1,3
3,Biological process,protein metabolic process,4,3
3,Biological process,protein refolding,1,3
3,Biological process,protein sumoylation,2,3
3,Biological process,protein transport,9,3
3,Biological process,retrograde vesicle-mediated transport Golgi to ER,1,3
3,Biological process,riboflavin biosynthetic process,1,3
3,Biological process,RNA polyadenylation,1,3
3,Biological process,signal transduction,7,3
3,Biological process,autophagy,1,2
3,Biological process,chloride transmembrane transport,2,2
3,Biological process,chromosome organization,1,2
3,Biological process,clathrin coat assembly,2,2
3,Biological process,developmental process,1,2
3,Biological process,flower development,1,2
3,Biological process,gamma-tubulin complex localization,1,2
3,Biological process,glycine decarboxylation via glycine cleavage system,1,2
3,Biological process,guanosine tetraphosphate metabolic process,1,2
3,Biological process,histone deubiquitination,1,2
3,Biological process,induced systemic resistance jasmonic acid mediated signaling pathway,1,2
3,Biological process,intracellular protein transport,14,2
3,Biological process,isoprenoid biosynthetic process,3,2
3,Biological process,mRNA 3'-end processing,2,2
3,Biological process,negative regulation of catalytic activity,10,2
3,Biological process,negative regulation of cell death,2,2
3,Biological process,nucleic acid phosphodiester bond hydrolysis,11,2
3,Biological process,photosystem II assembly,1,2
3,Biological process,protein catabolic process,2,2
3,Biological process,protein import into peroxisome matrix docking,1,2
3,Biological process,protein ubiquitination,8,2
3,Biological process,proteolysis involved in cellular protein catabolic process,1,2
3,Biological process,regulation of circadian rhythm,4,2
3,Biological process,regulation of mitotic metaphase/anaphase transition,1,2
3,Biological process,response to hormone,1,2
3,Biological process,response to light intensity,1,2
3,Biological process,response to nitrate,2,2
3,Biological process,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,1,2
3,Biological process,vitamin B6 biosynthetic process,1,2
3,Biological process,actin filament polymerization,1,1
3,Biological process,carbohydrate derivative metabolic process,1,1
3,Biological process,CDP-diacylglycerol biosynthetic process,1,1
3,Biological process,cellulose microfibril organization,2,1
3,Biological process,coenzyme A biosynthetic process,1,1
3,Biological process,gene silencing by RNA,8,1
3,Biological process,histone lysine methylation,1,1
3,Biological process,inorganic anion transport,2,1
3,Biological process,ionotropic glutamate receptor signaling pathway,4,1
3,Biological process,iron-sulfur cluster assembly,1,1
3,Biological process,lipid catabolic process,5,1
3,Biological process,macroautophagy,1,1
3,Biological process,mitochondrial respiratory chain complex IV assembly,1,1
3,Biological process,mRNA methylation,1,1
3,Biological process,negative regulation of transcription DNA-templated,1,1
3,Biological process,nucleotide-sugar transmembrane transport,1,1
3,Biological process,peptidyl-pyroglutamic acid biosynthetic process using glutaminyl-peptide cyclotransferase,1,1
3,Biological process,phloem development,1,1
3,Biological process,phosphatidylinositol dephosphorylation,2,1
3,Biological process,phospholipid transport,1,1
3,Biological process,phosphorylation,153,1
3,Biological process,poly(A)+ mRNA export from nucleus,1,1
3,Biological process,proteasome assembly,1,1
3,Biological process,protein targeting to ER,2,1
3,Biological process,proton transmembrane transport,2,1
3,Biological process,regulation of systemic acquired resistance,1,1
3,Biological process,RNA biosynthetic process,2,1
3,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,6,1
3,Biological process,root cap development,7,1
3,Biological process,sialylation,1,1
3,Biological process,snRNA processing,1,1
3,Biological process,spindle assembly,1,1
3,Biological process,starch biosynthetic process,1,1
3,Biological process,transmembrane transport,42,1
3,Biological process,vesicle-mediated transport,6,1
3,Biological process,ATP hydrolysis coupled cation transmembrane transport,2,0
3,Biological process,calcium ion transmembrane transport,4,0
3,Biological process,cysteine biosynthetic process from serine,1,0
3,Biological process,dephosphorylation,12,0
3,Biological process,glycerol ether metabolism,12,0
3,Biological process,histidyl-tRNA aminoacylation,1,0
3,Biological process,intracellular transport,1,0
3,Biological process,phosphatidylinositol metabolic process,3,0
3,Biological process,positive regulation of GTPase activity,2,0
3,Biological process,ribosome biogenesis,2,0
3,Biological process,rRNA methylation,2,0
3,Biological process,translational elongation,4,0
3,Cellular component,exosome (RNase complex),1,931
3,Cellular component,RISC complex,9,281
3,Cellular component,proteasome complex,1,208
3,Cellular component,clathrin-coated vesicle,60,94
3,Cellular component,extracellular region,6,50
3,Cellular component,mitochondrial sorting and assembly machinery complex,1,42
3,Cellular component,intracellular,10,37
3,Cellular component,extracellular space,1,16
3,Cellular component,cell wall,5,13
3,Cellular component,SAGA-type complex,1,12
3,Cellular component,transcription factor TFIID complex,1,12
3,Cellular component,cell,2,10
3,Cellular component,nucleolus,1,8
3,Cellular component,membrane,69,7
3,Cellular component,microtubule,2,7
3,Cellular component,mitochondrion,1,6
3,Cellular component,nucleus,26,6
3,Cellular component,lipid droplet,2,5
3,Cellular component,plasma membrane,7,4
3,Cellular component,clathrin coat of trans-Golgi network vesicle,2,3
3,Cellular component,integral component of membrane,228,3
3,Cellular component,mitochondrial membrane,1,3
3,Cellular component,chromosome,4,2
3,Cellular component,cytoplasm,1,2
3,Cellular component,mitochondrial matrix,3,2
3,Cellular component,chloroplast,1,1
3,Cellular component,endoplasmic reticulum,1,1
3,Cellular component,mediator complex,1,1
3,Cellular component,ribosome,4,1
3,Molecular function,GTPase activity,4,375
3,Molecular function,DNA binding,24,340
3,Molecular function,nucleic acid binding,51,326
3,Molecular function,RNA binding,33,209
3,Molecular function,actin binding,13,160
3,Molecular function,signal recognition particle binding,2,144
3,Molecular function,microtubule motor activity,9,140
3,Molecular function,catalytic activity,23,138
3,Molecular function,NAD+ ADP-ribosyltransferase activity,1,134
3,Molecular function,beta-galactosidase activity,2,116
3,Molecular function,aminoacyl-tRNA hydrolase activity,1,112
3,Molecular function,succinate-semialdehyde dehydrogenase [NAD(P)+] activity,4,86
3,Molecular function,amidase activity,2,84
3,Molecular function,transaminase activity,3,68
3,Molecular function,calcium ion binding,86,64
3,Molecular function,helicase activity,2,64
3,Molecular function,Rab guanyl-nucleotide exchange factor activity,5,63
3,Molecular function,G-protein beta/gamma-subunit complex binding,1,46
3,Molecular function,GTP binding,4,39
3,Molecular function,SUMO transferase activity,4,39
3,Molecular function,jasmonate-amino synthetase activity,1,37
3,Molecular function,zinc ion binding,40,34
3,Molecular function,isomerase activity,2,31
3,Molecular function,clathrin binding,4,27
3,Molecular function,protein serine/threonine phosphatase activity,2,26
3,Molecular function,transferase activity transferring alkyl or aryl (other than methyl) groups,1,26
3,Molecular function,pectate lyase activity,1,24
3,Molecular function,ubiquitin-like modifier activating enzyme activity,1,22
3,Molecular function,hydrolase activity,17,20
3,Molecular function,sulfotransferase activity,4,18
3,Molecular function,ATPase activity,1,17
3,Molecular function,ATP binding,30,16
3,Molecular function,small molecule binding,1,16
3,Molecular function,hydrolase activity acting on ester bonds,5,14
3,Molecular function,selenium binding,1,11
3,Molecular function,lyase activity,2,10
3,Molecular function,hydrolase activity acting on acid anhydrides,1,8
3,Molecular function,transferase activity,41,8
3,Molecular function,ligase activity,25,7
3,Molecular function,monooxygenase activity,5,7
3,Molecular function,transferase activity transferring acyl groups other than amino-acyl groups,3,7
3,Molecular function,L-ascorbic acid binding,9,6
3,Molecular function,oxidoreductase activity,7,5
3,Molecular function,metal ion binding,18,4
3,Molecular function,phosphatidylinositol binding,5,4
3,Molecular function,phosphorelay sensor kinase activity,1,4
3,Molecular function,protein transporter activity,3,4
3,Molecular function,double-stranded DNA binding,22,3
3,Molecular function,methyltransferase activity,33,3
3,Molecular function,nutrient reservoir activity,7,3
3,Molecular function,protein dimerization activity,20,3
3,Molecular function,carbohydrate binding,5,2
3,Molecular function,chaperone binding,2,2
3,Molecular function,structural constituent of cuticle,1,2
3,Molecular function,ADP binding,32,1
3,Molecular function,glucose-6-phosphate isomerase activity,1,1
3,Molecular function,channel activity,1,0
3,Molecular function,cofactor binding,8,0
3,Molecular function,membrane insertase activity,4,0
3,Molecular function,racemase and epimerase activity acting on carbohydrates and derivatives,1,0
3,Molecular function,serine-type endopeptidase activity,6,0
